 COURSE-ID,          TITLE, YRQ,DivisionKey
ACCT 101,PRACTICAL ACCOUNTING I,B902,4
ACCT&202,PRINCIPLES ACCOUNTING II,B902,4
AHE  110,MEDICAL TERMINOLOGY,B902,3
AHEL 112,ADVANCED PHLEBOTOMY,B902,3
AHEL 118,PHLEBOTOMY PRACTICUM,B902,3
ANTH 208,LANG CULTURE & SOCIETY,B902,7
ANTH 220,SEX GENDER & CULTURE,B902,7
ANTH&100,SURVEY OF ANTHROPOLOGY,B902,7
ANTH&236,FORENSIC ANTHROPOLOGY,B902,7
ART  101,MODERN ARCH & DESIGN,B902,1
ASL& 121,AMERICAN SIGN LANG I,B902,1
BIOL 108,HUMAN BIOLOGY,B902,6
BIOL&100,SURVEY OF BIOLOGY,B902,6
BUS  342,MNGMT PRACTICES& PROCESS,B902,4
BUS& 201,BUSINESS LAW,B902,4
BUSIT103,SQL FUNDAMENTALS,B902,4
BUSIT105,INTRO TO BUSINESS INTEL,B902,4
BUSIT115,DATA MINING I,B902,4
CHEM&110,CHEMICAL CONCEPTS W/ LAB,B902,6
DMA  240,GAME DESIGN I,B902,4
ECON&201,MICROECONOMICS,B902,7
ENGL 219,WORLD LITERATURE I,B902,1
ESL  066,ESL LEVEL 6,B902,1
FRCH&121,FRENCH I,B902,1
MATH&151,CALCULUS I,B902,1
MUSC 200,CONCERT CHOIR II,B902,1
MUSC 205,VOCAL JAZZ ENSEMBLE,B902,1
MUSC 206,BC JAZZ BAND,B902,1
NSCOM202,CISCO NETWORKING II,B902,4
PHYS 109,SCIENCE FOR IT,B902,6
PHYS&114,GENERAL PHYSICS I,B902,6
SPAN&223,SPANISH VI,B902,1
