playlistid,event,type
37i9dQZF1EIh5QTm0PNBlW,Rain,Weather
37i9dQZF1DX4aYNO8X5RpR,Rain,Weather
4X4dEJ2dDkT11S8UBR6wTO,Rain,Weather
5VLlCachyPIcIUOqPnptIB,Rain,Weather
6SLANwuSCx0B23XF4cIcaO,Rain,Weather
37i9dQZF1DXbvABJXBIyiY,Rain,Weather
5m8hWoxPvKRFRW2Oer7RGA,Rain,Weather
37i9dQZF1DWWQCnEFpmHYW,Rain,Weather
38oxbTJUwJlshVRRKBIqbu,Rain,Weather
37i9dQZF1EIhkGftn1D0Mh,Sun,Weather
37i9dQZF1EIhbb05MSdzdC,Sun,Weather
37i9dQZF1EIh0gn0qhBsTI,Sun,Weather
37i9dQZF1DX1BzILRveYHb,Sun,Weather
2RTmyxpcu6aOyd9AqukEYe,Sun,Weather
1xaUPRpVCbNaAzgsKrHHMp,Sun,Weather
4RjzCZRskQ88LhSCJljLzL,Sun,Weather
37i9dQZF1DWTKxc7ZObqeH,Sun,Weather
1gUujBwmvN13tGJRaReBNh,Sun,Weather
2iNecXG8SrujLYVJo0tpaq,Sun,Weather
37i9dQZF1DWYoDXiQsd3D2,Cloud,Weather
0V5IsHm0VJbmeffuLzgoc3,Cloud,Weather
37i9dQZF1EIgxHuuVqSn9D,Cloud,Weather
37i9dQZF1EIdChYeHNDfK5,Cloud,Weather
37i9dQZF1EIdXhgO6P7kXm,Cloud,Weather
70CgUbf2RjYd5eqXYvObpT,Cloud,Weather
1ocqFRrQpH3fvsUyWJ2Kya,Cloud,Weather
76OvGtXbjFqwGUjoEq2zsG,Cloud,Weather
7jcX4e0LVqqWkOfQh6u8bU,Cloud,Weather
7le3wJduh3rSvVHX40Szcq,Cloud,Weather
4raqLXnmb8WYkjfed9olAR,Snow,Weather
37i9dQZF1DX64iwDddhmfW,Snow,Weather
37i9dQZF1EIeXFUANbVlkW,Snow,Weather
0oDLvP7gYHz4hEd5mBzAE1,Snow,Weather
2mE6ajAGurIPK6qUu1r7zJ,Snow,Weather
6T5JYACRWsBR6pfYySXCaD,Snow,Weather
0TdSPt9izFHCFzHKFOxHlt,Snow,Weather
2GPn231QRfjb35LJyy8gW9,Snow,Weather
7bFSWgWheCLGmVDiTkOKPY,Snow,Weather
6TreAa5deb7qAEwbearzGl,Snow,Weather
37i9dQZF1EIfxVrvtd70vA,Storm,Weather
37i9dQZF1EIeOmlQSSmx93,Storm,Weather
37i9dQZF1DX2pSTOxoPbx9,Storm,Weather
0tvTKWuNraoLD79QYNQqjs,Storm,Weather
1VOzAzHyclTQQrFLpJZM8f,Storm,Weather
5tWq0EdzQi4Wf710in8Jd2,Storm,Weather
73i9ak1bXM6ijHZgF9Rfnb,Storm,Weather
316A2N1HY4ES2w3sPpO98K,Storm,Weather
72swiviJbjAJaEdYH1IYlG,Storm,Weather
015In5lQRgwSUwEdXid5le,Storm,Weather
1i4tfEypXvbW8ju1nX3ATA,Drizzle,Weather
2k06m32lCGscZHFzQNgec0,Drizzle,Weather
37i9dQZF1EIgxHuuVqSn9D,Drizzle,Weather
1i9sX2Z7CBREGy1tKPhMWg,Drizzle,Weather
4SRaENSFQQEBZctPr1KOAn,Drizzle,Weather
4BPiZjsF2bZIy1VGbpFoOS,Drizzle,Weather
6sHd5BU0W8bgvHcYAGflFO,Drizzle,Weather
5bWEH4I7FFJr1vfLdJuzxa,Drizzle,Weather
46oxCq2ZC7D9tGkFuoj3ny,Drizzle,Weather
0NMozEM7OzdVfQiaYjs4yT,Drizzle,Weather
37i9dQZF1EIhPBBOvFSqO1,Spring,Season
37i9dQZF1EIf68orkYt0JL,Spring,Season
37i9dQZF1EIgLJ4kVgZmvy,Spring,Season
3e1mML0cAxyool80MzIgXJ,Spring,Season
5CklfgOza2h4CKWtbPe9iK,Spring,Season
37i9dQZF1DWTLlRxFAxbpj,Spring,Season
6l9PSRgnXgu9FbEiapkB4f,Spring,Season
4bBiMIsH0t9hGqo0tosXcv,Spring,Season
1LOWfQGbmOHt8qgjKCnYqq,Spring,Season
24MEfFRJp5ipLN7ZOFqeq0,Spring,Season
37i9dQZF1DWTUoU0bd0p84,Summer,Season
2NjcocrUZCh2il9A2q2wMZ,Summer,Season
37i9dQZF1DX9fZ7amiNVu6,Summer,Season
37i9dQZF1DX9nkam6FKfgM,Summer,Season
5gu6W6R29kQOjnkreRl34n,Summer,Season
6jnbH74YBv5Q1KEeXLhHqC,Summer,Season
0Ax5jocNjFIoQYZFTYU4IB,Summer,Season
52RWkpakrAZpNejwvvYrFq,Summer,Season
2eywGwP1YJ5ohon0yyEvL2,Summer,Season
62bReXvmroQzQfEUuTNe3Y,Summer,Season
37i9dQZF1EIfvipBGiKzgO,Fall,Season
7MqGk3dNkwJFR5pEGj8ZA5,Fall,Season
348KZxNG6YSsyVDSBFJtPz,Fall,Season
5ToZDSqibex33sQ6s3iIN9,Fall,Season
348KZxNG6YSsyVDSBFJtPz,Fall,Season
2SXMsnPIG88IHbEZK27Zz7,Fall,Season
0nPHFKrEg62yQj9NWUqGde,Fall,Season
37i9dQZF1DX7UE7qrnkvsf,Fall,Season
3ObQxlpqjUZik48Tz07Q3y,Fall,Season
3yB6bCYxk5hK5zoBsz3M51,Fall,Season
37i9dQZF1EIdweJIvlLS4r,Winter,Season
37i9dQZF1EIgcvK8Ci6YZz,Winter,Season
37i9dQZF1EIhrpDnXo5ST9,Winter,Season
5LKwsGYskR7UUHwsBB1dCx,Winter,Season
37i9dQZF1EIhj2isIFa2I5,Winter,Season
37i9dQZF1EIdvkdlmXsh0P,Winter,Season
4raqLXnmb8WYkjfed9olAR,Winter,Season
2wHoLVKBpuei1AFQ3fLFhW,Winter,Season
37i9dQZF1DX97m5YXQMpCi,Winter,Season
3T7atTj2k1lLYHF8LvEGEC,Winter,Season
