 COURSE-ID,          TITLE, YRQ,DivisionKey
ACCT  101,PRACTICAL ACCOUNTING I,B903,4
ACCT& 202,PRINCIPLES ACCOUNTING II,B903,4
AHE   110,MEDICAL TERMINOLOGY,B903,3
AHEL  112,ADVANCED PHLEBOTOMY,B903,3
AHEL  118,PHLEBOTOMY PRACTICUM,B903,3
ANTH  208,LANG CULTURE & SOCIETY,B903,7
ANTH  220,SEX GENDER & CULTURE,B903,7
ANTH& 100,SURVEY OF ANTHROPOLOGY,B903,7
ANTH& 236,FORENSIC ANTHROPOLOGY,B903,7
ART   101,MODERN ARCH & DESIGN,B903,1
ASL&  121,AMERICAN SIGN LANG I,B903,1
BIOL  108,HUMAN BIOLOGY,B903,6
BIOL& 100,SURVEY OF BIOLOGY,B903,6
BUS   342,MNGMT PRACTICES& PROCESS,B903,4
BUS&  201,BUSINESS LAW,B903,4
BUSIT 103,SQL FUNDAMENTALS,B903,4
BUSIT 105,INTRO TO BUSINESS INTEL,B903,4
BUSIT 115,DATA MINING I,B903,4
CHEM& 110,CHEMICAL CONCEPTS W/ LAB,B903,6
DMA   240,GAME DESIGN I,B903,4
ECON& 201,MICROECONOMICS,B903,7
ENGL  219,WORLD LITERATURE I,B903,1
ESL   066,ESL LEVEL 6,B903,1
FRCH& 121,FRENCH I,B903,1
MATH& 151,CALCULUS I,B903,1
MUSC  200,CONCERT CHOIR II,B903,1
MUSC  205,VOCAL JAZZ ENSEMBLE,B903,1
MUSC  206,BC JAZZ BAND,B903,1
NSCOM 202,CISCO NETWORKING II,B903,4
PHYS  109,SCIENCE FOR IT,B903,6
PHYS& 114,GENERAL PHYSICS I,B903,6
SPAN& 223,SPANISH VI,B903,1
